eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/n_updates,train/approx_kl,train/std,train/explained_variance,train/entropy_loss,train/learning_rate,train/clip_range,train/value_loss,train/loss,train/policy_gradient_loss
-176.16785668104603,49.0,0.0,131072,,,,,,,,,,,,,,
,,,131072,2856,45,1,,,,,,,,,,,
-170.94484729460797,52.416666666666664,0.020833333333333332,262144,,,,0.0944854736328125,5,0.014220133,0.996166467666626,-0.0006120204925537109,-7.5134240090847015,0.00029980339199999997,0.2,3835.6806915283205,1597.5311279296875,-0.014449521580536384
,,,262144,2449,107,2,,,,,,,,,,,
-183.81000963878964,101.28125,0.0,393216,,,,0.12361907958984375,10,0.015447082,0.9933732151985168,0.0010334253311157227,-7.625383734703064,0.00029960678399999996,0.2,2827.6928482055664,1317.3314208984375,-0.010786119499243796
,,,393216,2390,164,3,,,,,,,,,,,
-193.74704260539605,166.20833333333334,0.010416666666666666,524288,,,,0.10685577392578124,15,0.016562901,0.9894129633903503,0.0007306337356567383,-7.770953357219696,0.00029941017599999996,0.2,2706.887673950195,1240.50634765625,-0.004480005121877184
,,,524288,2205,237,4,,,,,,,,,,,
-193.87796900804491,242.125,0.0,655360,,,,0.30216522216796876,20,0.037883382,0.9814136624336243,0.0003235340118408203,-7.979893156886101,0.000299213568,0.2,2377.8352294921874,1047.26416015625,0.0015831365984922741
,,,655360,2085,314,5,,,,,,,,,,,
-195.70828691545327,281.4895833333333,0.0,786432,,,,0.23634033203125,25,0.014762332,0.9770901203155518,0.00012916326522827148,-8.202044248580933,0.00029901696,0.2,2142.425385284424,966.1268310546875,-0.009945180463546421
,,,786432,2026,388,6,,,,,,,,,,,
-199.67422798764224,242.25,0.010416666666666666,917504,,,,0.1210906982421875,30,0.017258681,0.970592200756073,7.963180541992188e-05,-8.307903212308883,0.000298820352,0.2,1944.028726196289,891.9404907226562,-0.002413204133335967
,,,917504,1996,459,7,,,,,,,,,,,
-202.27301330647632,258.3020833333333,0.010416666666666666,1048576,,,,0.1221954345703125,35,0.009558441,0.9643669128417969,0.0002646446228027344,-8.36305592060089,0.000298623744,0.2,1459.1662658691407,629.29345703125,-0.007291844679275528
,,,1048576,1958,535,8,,,,,,,,,,,
-188.67590706080736,335.5625,0.0,1179648,,,,0.202374267578125,40,0.012598991,0.9556733965873718,0.00022870302200317383,-8.428244352340698,0.000298427136,0.2,1240.2458778381347,564.8162231445312,-0.012885997755074641
,,,1179648,1930,611,9,,,,,,,,,,,
-206.73418532974975,296.8333333333333,0.0,1310720,,,,0.3885345458984375,45,0.018350802,0.946864664554596,0.00033032894134521484,-8.48834058046341,0.000298230528,0.2,1086.439993286133,501.2176513671875,-0.020285003243770916
,,,1310720,1902,688,10,,,,,,,,,,,
-197.3234529729876,399.0,0.0,1441792,,,,0.2663726806640625,50,0.015414832,0.9381248950958252,0.0004513263702392578,-8.476539528369903,0.00029803391999999997,0.2,662.9787181854248,291.00946044921875,-0.019773661178624023
,,,1441792,1884,765,11,,,,,,,,,,,
-213.13289034090292,394.9375,0.010416666666666666,1572864,,,,0.33150177001953124,55,0.02213718,0.920853316783905,0.0004883408546447754,-8.441534858942031,0.00029783731199999996,0.2,523.219536781311,251.5650177001953,-0.027523816679240552
,,,1572864,1870,840,12,,,,,,,,,,,
-216.19482466676968,396.8229166666667,0.0,1703936,,,,0.2098388671875,60,0.018871851,0.9069995284080505,0.000451505184173584,-8.367445021867752,0.00029764070399999995,0.2,435.90076007843015,191.4281768798828,-0.034224816378264224
,,,1703936,1850,920,13,,,,,,,,,,,
-211.96272420205545,399.0,0.0,1835008,,,,0.33624114990234377,65,0.018024977,0.85675448179245,0.0007143616676330566,-8.29539930820465,0.00029744409599999995,0.2,222.11061458587648,105.79924774169922,-0.021485204878263175
,,,1835008,1836,999,14,,,,,,,,,,,
-209.38843329628492,399.0,0.0,1966080,,,,0.24404144287109375,70,0.01574704,0.81917405128479,0.04643481969833374,-8.188634979724885,0.00029724748799999994,0.2,175.24942359924316,76.8034439086914,-0.01580126796470722
,,,1966080,1823,1078,15,,,,,,,,,,,
-209.3132107331878,395.0104166666667,0.010416666666666666,2097152,,,,0.41420135498046873,75,0.01689526,0.7995295524597168,0.2465929388999939,-8.318725419044494,0.00029705088,0.2,161.9149435043335,71.80912017822266,-0.005575589934596792
,,,2097152,1811,1157,16,,,,,,,,,,,
-195.47450944754607,271.8333333333333,0.010416666666666666,2228224,,,,0.2248138427734375,80,0.011821778,0.7853395938873291,0.43276822566986084,-8.213453805446624,0.000296854272,0.2,138.5050280570984,67.01935577392578,-0.02308349742233986
,,,2228224,1794,1241,17,,,,,,,,,,,
-195.79380304606582,372.1979166666667,0.010416666666666666,2359296,,,,0.09984893798828125,85,0.008590791,0.770473301410675,0.7008069157600403,-8.16504209637642,0.000296657664,0.2,68.18103451728821,29.912837982177734,-0.011634027907894052
,,,2359296,1782,1323,18,,,,,,,,,,,
-200.10624263346145,399.0,0.0,2490368,,,,0.15042724609375,90,0.009049859,0.7571837306022644,0.7815712243318558,-8.137312418222427,0.00029646105599999997,0.2,52.024532961845395,25.771095275878906,-0.013555105925479437
,,,2490368,1769,1407,19,,,,,,,,,,,
-202.44329863191885,399.0,0.0,2621440,,,,0.112530517578125,95,0.007841954,0.7456986308097839,0.7202091813087463,-8.135494965314866,0.00029626444799999997,0.2,92.23044333457946,43.85382080078125,-0.020698271205765194
,,,2621440,1759,1490,20,,,,,,,,,,,
-191.3550064856146,386.6041666666667,0.020833333333333332,2752512,,,,0.1460205078125,100,0.010089319,0.7374832034111023,0.7908252328634262,-8.128954297304153,0.00029606783999999996,0.2,71.48995296955108,34.3042106628418,-0.0180519286695926
,,,2752512,1748,1573,21,,,,,,,,,,,
-182.0976737350271,391.90625,0.0,2883584,,,,0.2035552978515625,105,0.013197635,0.7256529331207275,0.8362407684326172,-8.19359884262085,0.00029587123199999995,0.2,49.27878983020783,27.471813201904297,-0.01374121563276276
,,,2883584,1738,1658,22,,,,,,,,,,,
-181.85078108600644,352.3020833333333,0.010416666666666666,3014656,,,,0.14650115966796876,110,0.010237738,0.7172508835792542,0.8593966066837311,-8.16394213438034,0.000295674624,0.2,54.709968137741086,34.81919860839844,-0.01499052110593766
,,,3014656,1727,1744,23,,,,,,,,,,,
-191.94732409051844,375.2604166666667,0.0,3145728,,,,0.1146270751953125,115,0.008391274,0.7084253430366516,0.8143637776374817,-8.19336706995964,0.000295478016,0.2,54.514918899536134,28.244050979614258,-0.014265529354452156
,,,3145728,1719,1828,24,,,,,,,,,,,
-186.45682748009486,373.2083333333333,0.010416666666666666,3276800,,,,0.10846710205078125,120,0.010281729,0.694740355014801,0.8213390111923218,-8.067902839183807,0.000295281408,0.2,62.43393232822418,28.350465774536133,-0.021064216623199173
,,,3276800,1711,1914,25,,,,,,,,,,,
-184.08999286080527,368.1458333333333,0.0,3407872,,,,0.20215911865234376,125,0.014815089,0.6744011044502258,0.8290427774190903,-8.050306862592697,0.0002950848,0.2,54.89992022514343,28.845779418945312,-0.02238906844431767
,,,3407872,1705,1998,26,,,,,,,,,,,
-188.30974293332883,365.4583333333333,0.0,3538944,,,,0.07896270751953124,130,0.0077932067,0.6735777258872986,0.8803294375538826,-7.943275511264801,0.000294888192,0.2,32.51175509691238,15.800178527832031,-0.00914881986536784
,,,3538944,1700,2081,27,,,,,,,,,,,
-182.37414449492636,345.5416666666667,0.020833333333333332,3670016,,,,0.07614898681640625,135,0.0076132324,0.6714291572570801,0.872634544968605,-7.952868530154229,0.00029469158399999997,0.2,34.533725917339325,16.448976516723633,-0.008841083340303157
,,,3670016,1696,2163,28,,,,,,,,,,,
