time(1),x(2),y(3),h(4),lon(5),lat(6),v(7),vz(8),theta(9),phi(10),psi(11),alf(12),beta(13),p(14),q(15),r(16),nx_out(17),ny_out(18),nz_out(19),ele(20),ail(21),rud(22),throttle(23)
0,-0.033742325,-3.198569775,3000,109.5385062,34.83082113,319.9725038,0,-0.193511963,0,-25,-0.193495209,0,0,-2.53E-07,0,-0.283946289,0,0.998111984,-1.173897477,0,0,0
0.01,-0.067481752,-6.396864705,2999.999999,109.5384914,34.83084725,319.9273043,9.16E-05,-0.193511963,0,-25,-0.193482103,0,-6.63E-13,0.000761083,-6.41E-12,-0.46459064,0,0.997689857,-1.176194163,0,0,-16456.80714
0.02,-0.101216413,-9.594707838,2999.999997,109.5384766,34.83087337,319.9449575,0.00016478,-0.193511963,0,-25,-0.193080414,-0.000642802,3.34916558,0.056891183,0.153413055,0.176831683,-0.036622468,0.978150772,-1.343197078,-2.880300576,0,42220
0.03,-0.13498881,-12.79272704,2999.999974,109.5384618,34.8308995,319.9622433,0.002365197,-0.192932129,0.033486474,-24.99847412,-0.191716093,-0.003250025,8.041286737,0.184815887,0.375911456,0.173159499,-0.054713314,0.955290854,-1.562760704,-4.187543254,0,42220
0.04,-0.16881667,-15.99091845,2999.999906,109.5384471,34.83092562,319.979184,0.006796448,-0.191101074,0.113886684,-24.99472046,-0.18875144,-0.008392945,13.19837017,0.379583142,0.629677162,0.169704666,-0.064113693,0.937215493,-1.770919933,-4.799849285,0,42220
0.05,-0.202708811,-19.18927852,2999.999776,109.5384323,34.83095174,319.9958156,0.012963248,-0.187316895,0.245849356,-24.98840332,-0.183616235,-0.016302952,18.43895645,0.633503924,0.897291912,0.166612412,-0.069166417,0.92533256,-1.958873381,-5.103912101,0,42220
0.06,-0.236669299,-22.38780411,2999.999574,109.5384175,34.83097787,320.012173,0.020223558,-0.180999756,0.430209517,-24.97940063,-0.175813851,-0.027050463,23.59988143,0.939008265,1.170275595,0.163882197,-0.071795491,0.919892552,-2.126451319,-5.269987201,0,42220
0.07,-0.270699328,-25.58649248,2999.999295,109.5384027,34.831004,320.0282879,0.027909478,-0.171722412,0.666171134,-24.96762085,-0.164916576,-0.040622738,28.61383828,1.289061958,1.444067429,0.161490628,-0.072863343,0.920927467,-2.274839466,-5.373097983,0,42220
0.08,-0.30479806,-28.78534119,2999.998941,109.5383879,34.83103012,320.0441879,0.035352149,-0.158996582,0.952265799,-24.95303345,-0.150560056,-0.056957718,33.45550842,1.677186154,1.715834853,0.159412192,-0.072768245,0.928411006,-2.405362117,-5.446370958,0,42220
0.09,-0.338962996,-31.98434813,2999.998522,109.5383731,34.83105625,320.0598973,0.041889047,-0.142486572,1.28677249,-24.93560791,-0.13243817,-0.075958857,38.11786754,2.097417298,1.983523204,0.157622652,-0.071707259,0.942287136,-2.519287135,-5.504503105,0,42220
