time(1),x(2),y(3),h(4),lon(5),lat(6),v(7),vz(8),theta(9),phi(10),psi(11),alf(12),beta(13),p(14),q(15),r(16),nx_out(17),ny_out(18),nz_out(19),ele(20),ail(21),rud(22),throttle(23)
0,-0.033726453,-3.197065084,6000,109.5385062,34.83082111,319.9825441,0,0.451754004,0,-25,0.451729672,0,0,3.88E-07,0,-0.170220808,0,1.002759253,-1.208620881,0,0,0
0.01,-0.067451064,-6.393955766,6000.000001,109.5384914,34.83084723,319.9373142,-0.000135828,0.451754004,0,-25,0.451739874,0,1.02E-12,-0.001124165,9.85E-12,-0.453636629,0,1.003026267,-1.203374669,0,0,-25824.55541
0.02,-0.10117091,-9.590394559,6000.000002,109.5384767,34.83087334,319.9652332,-7.89E-05,0.451742768,1.10E-14,-25,0.451714866,-0.000410623,2.158010863,0.009929024,0.097132929,0.292769238,-0.023395263,0.9985073,-1.260100838,-2.880240425,0,42220
0.03,-0.134916605,-12.78711204,6000.000004,109.5384619,34.83089945,319.993183,-0.000155746,0.45184204,0.021587767,-24.99902344,0.451748432,-0.001897209,5.641640675,0.013506534,0.256875591,0.293106617,-0.039056564,1.00147427,-1.225803987,-4.746979327,0,42220
0.04,-0.168703491,-15.98410835,6000.000009,109.5384471,34.83092556,320.0211759,-0.000526969,0.45197615,0.078024432,-24.99645996,0.451754068,-0.004882847,9.908941525,0.007187772,0.456487384,0.293575173,-0.049492376,1.005198635,-1.179331549,-5.949828577,0,42220
0.05,-0.20254141,-19.18138382,6000.000022,109.5384323,34.83095168,320.0492111,-0.001279772,0.452041805,0.177149847,-24.99188232,0.451643335,-0.009630835,14.60831205,-0.008525531,0.680972886,0.294033568,-0.056351088,1.008600651,-1.133775056,-6.718041525,0,42220
0.06,-0.236436088,-22.37893881,6000.000046,109.5384175,34.8309778,320.0772862,-0.002404022,0.4519355,0.323286682,-24.9850769,0.451340598,-0.016299136,19.51273173,-0.032674333,0.920423059,0.294459784,-0.060716526,1.011500938,-1.091026234,-7.201790982,0,42220
0.07,-0.270390023,-25.57677368,6000.000085,109.5384027,34.83100392,320.1053986,-0.003876903,0.451556832,0.518486619,-24.97589111,0.450785551,-0.024976284,24.47667085,-0.064258327,1.168268837,0.294851065,-0.063302786,1.013871207,-1.051190758,-7.499439297,0,42220
0.08,-0.304403108,-28.77488882,6000.000141,109.5383879,34.83103004,320.1335461,-0.005674327,0.450808555,0.763345301,-24.96420288,0.449933111,-0.035705015,29.40786086,-0.102320143,1.420134404,0.29520811,-0.06458171,1.015714895,-1.014079728,-7.675406209,0,42220
0.09,-0.338473027,-31.9732846,6000.000219,109.5383731,34.83105616,320.1617263,-0.007771505,0.449596256,1.057535529,-24.95001221,0.448752491,-0.048497773,34.24880253,-0.145969684,1.673084337,0.295532524,-0.064866342,1.017047048,-0.979451537,-7.771875572,0,42220
